Group,Links
Group 1,"https://maconbibbcountyga.justfoia.com/Forms/Launch/a709d888, https://cantonga.justfoia.com/Forms/Launch/d705cbd6, https://woodstockga.justfoia.com/Forms/Launch/d705cbd6, https://riverdalega.justfoia.com/Forms/Launch/d705cbd6, https://forestparkga.justfoia.com/Forms/Launch/c7a60d81, https://austellga.justfoia.com/Forms/Launch/d705cbd6, https://acworthga.justfoia.com/Forms/Launch/d705cbd6, https://alpharettaga.justfoia.com/Forms/Launch/39f66254, https://roswellga.justfoia.com/Forms/Launch/02b6cc8e, https://eastpointga.justfoia.com/Forms/Launch/d705cbd6, https://fairburnga.justfoia.com/Forms/Launch/d705cbd6, https://hapevillega.justfoia.com/Forms/Launch/0e8fe236, https://norcrossga.justfoia.com/Forms/Launch/2da76d30, https://spaldingcountyga.justfoia.com/Forms/Launch/d705cbd6"
Group 2,"https://cherokeecountyga.nextrequest.com/requests/new, https://cityoffayettevillega.nextrequest.com/requests/new, https://peachtreecitygapolice.nextrequest.com/requests/new, https://cityofaugustaga.nextrequest.com/requests/new"
Group 3,"https://www.accgov.com/FormCenter/18/769, https://www.co.newton.ga.us/FormCenter/County"
Group 4,"https://claytoncountyga.govqa.us/WEBAPP/_rs/(S(2ukjt3lpekpafy2scmp1ol4x))/RequestLogin.a, https://cobbcountyga.govqa.us/WEBAPP/_rs/(S(kuxusrpwlelrfnktjwxlxhsd))/SupportHome.aspx, https://southfultonga.govqa.us/WEBAPP/_rs/(S(ngz4vuhjaeyq4bknsp2yndz1))/RequestLogin.as"
Group 5,https://www.sagesgov.com/Account/Login.aspx?returl=%2fProject%2fSubmit.aspx%3fid%3dIfS1ZKy
Group 6,https://kennesawga.justfoia.com/
Group 7,"https://www.dekalbcountyga.gov/openrecords, https://www.columbusga.gov/fire/Open"
Group 8,https://www.decaturga.com/media/20231
Group 9,"https://albanyga.justfoia.com/publicportal/home/track, https://unioncityga.justfoia.com/publicportal/home/newrequest, https://collegeparkga.justfoia.com/publicportal/home/newrequest"
Group 10,https://fayettecountyga.gov/911_communications/open
Group 11,https://fultoncountyga.mycusthelp.com/WEBAPP/_rs/(S
Group 12,https://fs6.formsite.com/mAFRD/jiupubq3at/index.html
Group 13,https://gwinnettcountyga.govqa.us/WEBAPP/_rs/(S(5045kr4qfuthurxa5i1ef5qj))/SupportHome.a
Group 14,https://cityofcovington.org/corecode/uploads/document6/uploaded_pdfs/corecode/City_Open%20Re
Group 15,https://www.cityofgriffin.com/services/open
